"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDL083C",182.85991645173,0.456261025980518,0.204687106677399,24.158499088463,5.67608090874946e-06,2.00075893340203e-05
"YDL084W",273.079292207457,-0.0793958026870777,0.174128562332656,1.2659105475681,0.531020169863779,0.582303189670206
"YDL085C-A",16.4680606100005,1.23056167795992,0.438874381172089,29.6258815985783,3.68826018273243e-07,1.60297461787986e-06
"YDL085W",42.0160832453085,-1.5437441056499,0.314740706999628,31.9121059069558,1.17591044866248e-07,5.51448507289765e-07
"YDL086W",96.4106188212846,-0.194779396506649,0.226707592001243,14.3172471234395,0.000778124857285231,0.00181438954817778
"YDL087C",13.7767985575999,-1.48988660840134,0.504631668509867,15.4210164040207,0.000448093697142243,0.00110425966881765
"YDL088C",117.296127149085,-0.13565610111637,0.231063769990715,3.33357458203315,0.188852821214793,0.240268796706796
"YDL089W",40.2544981200409,-0.408239476853889,0.315831383672251,2.5176247929392,0.283991095135387,0.340696544511134
"YDL090C",47.5198093952196,-1.37158387153004,0.302433790901201,22.4830496436528,1.3118005290049e-05,4.37962494797319e-05
"YDL091C",122.627638974483,0.622156879222842,0.218561625929098,19.1538404801998,6.93100777613228e-05,0.000203023936652808
"YDL092W",70.2685083560219,1.612235144557,0.351917854835132,20.6868090160456,3.22044953497567e-05,0.000100176609145141
"YDL093W",43.1779139913385,-0.705313565894661,0.336623010331256,4.99241555418432,0.0823968742131918,0.117117569636361
"YDL095W",233.782142348731,0.454822185926239,0.18037685216467,6.78947707670943,0.0335493248871791,0.0527242131685114
"YDL097C",290.680177203522,0.512929490501332,0.169791760475622,11.2860148370563,0.00354219949493041,0.00719210927166935
"YDL098C",13.0723600400573,-0.223768509352501,0.492586188128913,1.41436712101859,0.493030835368346,0.546303825876749
"YDL099W",233.409718139394,2.80128410656873,0.717165818656058,16.1102244828945,0.000317474759176872,0.000808968640469776
